iter	RMSE
0	0.4788978423
1	0.4642573629
2	0.4508737962
3	0.4382307546
4	0.4268251965
5	0.4158645928
6	0.4049224033
7	0.3947555277
8	0.3852644329
9	0.376255685
10	0.3672597925
11	0.3590189116
12	0.3517431662
13	0.343577334
14	0.3382831428
15	0.3324550421
16	0.3257248748
17	0.3198762555
18	0.3136987
19	0.3086661765
20	0.3032954575
21	0.2988178448
22	0.2947832476
23	0.2912016366
24	0.2876813287
25	0.2838259685
26	0.2806384251
27	0.2774068023
28	0.2746714173
29	0.2716373824
30	0.269202404
31	0.2668332649
32	0.2639503734
33	0.2619523998
34	0.2602957964
35	0.2579552166
36	0.2560994353
37	0.2540453282
38	0.2531416792
39	0.2516001324
40	0.2498222033
41	0.2476601835
42	0.246609856
43	0.2456915719
44	0.2438587861
45	0.2425475192
46	0.2413935711
47	0.2405104105
48	0.2394316187
49	0.2385650167
50	0.2378814718
51	0.2363660653
52	0.2350398814
53	0.234322317
54	0.2338760385
55	0.2334533494
56	0.232570802
57	0.2316436073
58	0.2314336276
59	0.2301770153
60	0.2290247571
61	0.2285102173
62	0.2275337253
63	0.2267511673
64	0.226172158
65	0.2256097505
66	0.2247800946
67	0.2239283984
68	0.223130292
69	0.2229624506
70	0.2225109697
71	0.2220924249
72	0.2215293029
73	0.221290883
74	0.2211127138
75	0.2205133603
76	0.2196777808
77	0.2195196946
78	0.2192493849
79	0.2186349275
80	0.2181425829
81	0.2175619554
82	0.2169541838
83	0.2165984694
84	0.2159330139
85	0.2153275519
86	0.2148740805
87	0.2142421427
88	0.2132492731
89	0.2126097674
90	0.212488232
91	0.2118743897
92	0.2111805503
93	0.2105988141
94	0.2102332071
95	0.2100995566
96	0.2100020195
97	0.2097204433
98	0.2091499975
99	0.2087930777
100	0.2085285107
101	0.208205458
102	0.2077307047
103	0.2075314799
104	0.2073225194
105	0.2071020555
106	0.2070618593
107	0.2066552065
108	0.2062238512
109	0.2061200874
110	0.2060013607
111	0.2055605582
112	0.2050779122
113	0.2047034558
114	0.204246833
115	0.203655825
116	0.2032573156
117	0.2032237679
118	0.2030621586
119	0.2029257154
120	0.2027837567
121	0.2024629036
122	0.2017149996
123	0.2014448072
124	0.2011916186
125	0.2006995787
126	0.2003634319
127	0.2003633215
128	0.2000140808
129	0.1996297482
130	0.1995199376
131	0.1989683138
132	0.1986668231
133	0.198406361
134	0.197963675
135	0.1976222394
136	0.1975178917
137	0.197127122
138	0.1970576001
139	0.1966753203
140	0.1964581736
141	0.1959009312
142	0.1957681897
143	0.1956201602
144	0.1955422361
145	0.1950234871
146	0.1947734713
147	0.1945209127
148	0.1943441543
149	0.1942112222
150	0.1939488978
151	0.1937725486
152	0.1935528242
153	0.1930034284
154	0.1927346156
155	0.1925868688
156	0.1923237464
157	0.1923236426
158	0.192149554
159	0.19194175
160	0.1916072935
161	0.1914722469
162	0.191277848
163	0.1911226628
164	0.1910939637
165	0.1907350983
166	0.1903811515
167	0.1900394102
168	0.1893949397
169	0.1892681603
170	0.1889178984
171	0.1888317373
172	0.1885110599
173	0.1883976198
174	0.1882545478
175	0.1878692762
176	0.1874907918
177	0.1870339635
178	0.1868366646
179	0.1867202731
180	0.1866413152
181	0.1863295418
182	0.1862306569
183	0.1858556645
184	0.1855534337
185	0.185448042
186	0.1853377113
187	0.1850983557
188	0.1848138642
189	0.184539208
190	0.1844143828
191	0.1842858683
192	0.1840296796
193	0.1836371714
194	0.1835294139
195	0.183293228
196	0.1832298216
197	0.182992479
198	0.1826321616
199	0.1825347759
200	0.1821938686
201	0.1820829158
202	0.1819737381
203	0.181767949
204	0.1816532558
205	0.1812042864
206	0.1811103653
207	0.1810443463
208	0.1807560839
209	0.1803283519
210	0.179860486
211	0.1796213849
212	0.1793620699
213	0.1792898121
214	0.179204593
215	0.1791233584
216	0.178946808
217	0.1788924382
218	0.1786080402
219	0.1785124481
220	0.1782087288
