iter	Passed	Remaining
0	1	1042
1	2	1037
2	3	1010
3	4	1049
4	4	966
5	5	942
6	6	926
7	7	885
8	7	850
9	8	823
10	8	801
11	9	782
12	10	784
13	11	786
14	11	761
15	12	748
16	13	777
17	14	790
18	15	796
19	16	797
20	17	799
21	17	792
22	18	795
23	19	787
24	20	780
25	20	781
26	21	782
27	22	784
28	23	778
29	24	782
30	25	794
31	26	806
32	27	807
33	28	807
34	29	802
35	29	802
36	30	802
37	31	802
38	32	793
39	33	792
40	33	792
41	34	793
42	35	787
43	35	781
44	36	781
45	37	781
46	38	782
47	39	785
48	40	785
49	41	784
50	42	783
51	42	782
52	43	782
53	44	780
54	45	779
55	45	774
56	46	773
57	47	771
58	48	765
59	48	765
60	49	763
61	50	762
62	51	761
63	52	760
64	52	759
65	53	759
66	54	755
67	55	755
68	56	755
69	56	751
70	57	751
71	58	751
72	59	750
73	59	750
74	60	749
75	61	744
76	62	744
77	62	741
78	63	738
79	64	737
80	64	733
81	65	733
82	66	733
83	67	732
84	68	732
85	68	732
86	69	732
87	70	732
88	71	731
89	72	731
90	73	730
91	74	730
92	74	730
93	75	729
94	76	729
95	77	726
96	77	724
97	78	721
98	79	721
99	80	722
100	81	721
101	81	721
102	82	721
103	83	720
104	84	720
105	85	720
106	85	716
107	86	714
108	87	714
109	88	714
110	88	712
111	89	712
112	90	713
113	91	713
114	92	714
115	93	715
116	94	715
117	95	712
118	96	712
119	97	712
120	98	713
121	98	711
122	99	711
123	100	709
124	101	707
125	101	707
126	102	706
127	103	702
128	103	702
129	104	701
130	105	701
131	106	700
132	107	699
133	108	698
134	108	697
135	109	697
136	110	695
137	111	694
138	111	691
139	112	690
140	113	689
141	114	689
142	114	687
143	115	687
144	116	685
145	117	685
146	118	685
147	118	684
148	119	684
149	120	683
150	121	683
151	122	682
152	122	680
153	123	680
154	124	678
155	125	678
156	126	677
157	126	673
158	126	671
159	127	670
160	128	670
161	129	670
162	130	671
163	131	670
164	132	668
165	132	668
166	133	667
167	134	667
168	135	666
169	136	666
170	137	666
171	138	665
172	139	665
173	140	664
174	140	663
175	141	662
176	142	662
177	143	661
178	144	661
179	144	659
180	145	657
181	145	655
182	146	655
183	147	654
184	148	654
185	149	655
186	150	654
187	151	654
188	152	652
189	152	652
190	153	651
191	154	650
192	155	651
193	156	651
194	157	650
195	158	650
196	159	649
197	160	648
198	161	648
199	162	648
200	163	648
201	163	647
202	164	646
203	165	646
204	166	645
205	167	644
206	168	644
207	169	643
208	170	643
209	170	642
210	171	642
211	172	641
212	173	640
213	174	639
214	174	638
215	175	638
216	176	637
217	177	636
218	178	636
219	179	635
220	180	634
221	180	634
222	182	635
223	183	634
224	183	633
225	184	632
226	185	632
227	186	631
228	187	632
229	188	632
230	189	631
231	190	631
232	191	630
233	192	630
234	193	630
235	194	629
236	195	629
237	196	629
238	197	628
239	198	628
240	199	628
241	200	628
242	201	628
243	202	627
244	203	627
245	204	627
246	205	626
247	206	626
248	207	625
249	208	625
